hunt_code,screenshot_hunt_name,screenshot_sex_type,screenshot_species,screenshot_weapon,screenshot_hunt_type,screenshot_season,overlay_rows,overlay_years,overlay_permits,canonical_rows,canonical_years,canonical_current_hunt_types,boundary_ids,boundary_sources,classification,next_action
BR7324,Chalk Creek/East Canyon/Morgan-South Rich,Either Sex,Black Bear,Multiseason,Conservation,,3,2022->2023|2023->2024|2024->2025,2022->2023:1|2023->2024:1.0|2024->2025:1,0,,,610,data\black_bear_hunt_table_official.json|processed_data\boundaries\BR7324.geojson|processed_data\hunt_research_2026_split\hunts\BR7324.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
DB1056,Book Cliffs (North & South),Buck,Deer,Any Legal Weapon,Conservation,,4,2021->2022|2022->2023|2024->2025|2025->2026,2021->2022:|2022->2023:3|2024->2025:3|2025->2026:2,0,,,7,processed_data\boundaries\DB1056.geojson|processed_data\hunt_research_2026_split\hunts\DB1056.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
DB1075,Book Cliffs (North & South),Buck,Deer,Archery,Conservation,,3,2021->2022|2022->2023|2024->2025,2021->2022:|2022->2023:2|2024->2025:3,0,,,7,processed_data\boundaries\DB1075.geojson|processed_data\hunt_research_2026_split\hunts\DB1075.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
DB1076,Book Cliffs (North & South),Buck,Deer,Muzzleloader,Conservation,,3,2021->2022|2022->2023|2024->2025,2021->2022:|2022->2023:2|2024->2025:2,0,,,7,processed_data\boundaries\DB1076.geojson|processed_data\hunt_research_2026_split\hunts\DB1076.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
DB1118,Dolores Triangle,Buck,Deer,Multiseason,Conservation,,0,,,0,,,108,processed_data\boundaries\DB1118.geojson|processed_data\hunt_research_2026_split\hunts\DB1118.json,screenshot/hunt_source_conservation_code_not_in_overlay_file,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
DS1002,"Kaiparowits, East",Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,,3,2022->2023|2023->2024|2025->2026,2022->2023:1|2023->2024:|2025->2026:1,0,,,98,data\bighorn_sheep_hunt_table_official.json|processed_data\boundaries\DS1002.geojson|processed_data\hunt_research_2026_split\hunts\DS1002.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
DS1003,"Kaiparowits, Escalante East/West",Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,,4,2022->2023|2023->2024|2024->2025|2025->2026,2022->2023:1|2023->2024:|2024->2025:1|2025->2026:1,0,,,5141,data\bighorn_sheep_hunt_table_official.json|processed_data\boundaries\DS1003.geojson|processed_data\hunt_research_2026_split\hunts\DS1003.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
DS1004,"San Rafael, Dirty Devil",Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,,3,2022->2023|2023->2024|2025->2026,2022->2023:1|2023->2024:|2025->2026:1,0,,,193,data\bighorn_sheep_hunt_table_official.json|processed_data\boundaries\DS1004.geojson|processed_data\hunt_research_2026_split\hunts\DS1004.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
DS1006,"Kaiparowits, West",Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,,4,2022->2023|2023->2024|2024->2025|2025->2026,2022->2023:1|2023->2024:|2024->2025:1|2025->2026:1,0,,,100,data\bighorn_sheep_hunt_table_official.json|processed_data\boundaries\DS1006.geojson|processed_data\hunt_research_2026_split\hunts\DS1006.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
DS1007,"San Rafael, South",Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,,4,2022->2023|2023->2024|2024->2025|2025->2026,2022->2023:1|2023->2024:|2024->2025:1|2025->2026:1,0,,,195,data\bighorn_sheep_hunt_table_official.json|processed_data\boundaries\DS1007.geojson|processed_data\hunt_research_2026_split\hunts\DS1007.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
DS6605,"Pine Valley, Beaver Dam",Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,,1,2025->2026,2025->2026:1,56,2019,Conservation,305,data\bighorn_sheep_hunt_table_official.json|processed_data\boundaries\DS6605.geojson|processed_data\hunt_research_2026_split\hunts\DS6605.json,confirmed_conservation_overlay_code,review_canonical_rows_for_reclassification_or_add_allocation_overlay_rows
EA1180,La Sal (Conservation),Antlerless,Elk,Any Legal Weapon,Conservation,,1,2025->2026,2025->2026:2,0,,,5111,processed_data\boundaries\EA1180.geojson|processed_data\hunt_research_2026_split\hunts\EA1180.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
EA1270,Fishlake (Conservation),Antlerless,Elk,Any Legal Weapon,Conservation,,1,2025->2026,2025->2026:4,0,,,5114,processed_data\boundaries\EA1270.geojson|processed_data\hunt_research_2026_split\hunts\EA1270.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
EA1271,Manti (Conservation),Antlerless,Elk,Any Legal Weapon,Conservation,,1,2025->2026,2025->2026:3,0,,,5115,processed_data\boundaries\EA1271.geojson|processed_data\hunt_research_2026_split\hunts\EA1271.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
EA2041,Cache (Conservation),Antlerless,Elk,Any Legal Weapon,Conservation,,1,2025->2026,2025->2026:2,0,,,5117,processed_data\boundaries\EA2041.geojson|processed_data\hunt_research_2026_split\hunts\EA2041.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
EA2045,Wasatch Mtns (Conservation),Antlerless,Elk,Any Legal Weapon,Conservation,,1,2025->2026,2025->2026:4,0,,,5118,processed_data\boundaries\EA2045.geojson|processed_data\hunt_research_2026_split\hunts\EA2045.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
EB3128,"Box Elder, Grouse Creek",Bull,Elk,Multiseason,Conservation,,2,2022->2023|2025->2026,2022->2023:1|2025->2026:2,0,,,867,processed_data\boundaries\EB3128.geojson|processed_data\hunt_research_2026_split\hunts\EB3128.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
EB3209,"Box Elder, Pilot Mtn",Bull,Elk,Multiseason,Conservation,,1,2025->2026,2025->2026:1,0,,,5129,processed_data\boundaries\EB3209.geojson|processed_data\hunt_research_2026_split\hunts\EB3209.json,confirmed_conservation_overlay_code,not_in_draw_canonical; add only as conservation/allocation overlay if promoting to canonical feed
