from_report_year,to_report_year,from_model_year,to_model_year,hunt_code,species,unit,weapon,reviewed_status,source_evidence,source_pages,target_source_evidence,target_source_pages,decision_basis
2020,2021,2021,2022,BI6515,Bison,Henry Mtns (cow Only),Archery,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,499|9,,,2020 bison source/harvest-confirmed; absent from 2021 regulation and year-document checks; no safe 2021 successor.
2020,2021,2021,2022,BI6522,Bison,"Book Cliffs, Bitter Creek/south (cow Only)",Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,15|505,,,2020 bison source/harvest-confirmed; absent from 2021 regulation and year-document checks; no safe 2021 successor.
2020,2021,2021,2022,CG1030,Cougar,"Beaver, East",Any Legal Weapon,REVIEWED_PRESENT_IN_2021_COUGAR_GUIDE_SOURCE_GAP,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,3,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2021/pdf/regulations/2020-21_cougar.pdf,18,Official 2020-21 cougar guide confirms this code remained active; Bible year-document comparison missed the cougar guide.
2020,2021,2021,2022,CG7613,Cougar,Mt Dutton,Any Legal Weapon,REVIEWED_PRESENT_IN_2021_COUGAR_GUIDE_SOURCE_GAP,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,13,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2021/pdf/regulations/2020-21_cougar.pdf,18,Official 2020-21 cougar guide confirms this code remained active; Bible year-document comparison missed the cougar guide.
2020,2021,2021,2022,CG7615,Cougar,Panguitch Lake,Any Legal Weapon,REVIEWED_PRESENT_IN_2021_COUGAR_GUIDE_SOURCE_GAP,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,14,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2021/pdf/regulations/2020-21_cougar.pdf,18,Official 2020-21 cougar guide confirms this code remained active; Bible year-document comparison missed the cougar guide.
2020,2021,2021,2022,CG7619,Cougar,"Plateau, Fishlake",Any Legal Weapon,REVIEWED_PRESENT_IN_2021_COUGAR_GUIDE_SOURCE_GAP,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,15,C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2021/pdf/regulations/2020-21_cougar.pdf,18,Official 2020-21 cougar guide confirms this code remained active; Bible year-document comparison missed the cougar guide.
2020,2021,2021,2022,DA1005,Antlerless Deer,Antlerless Deer,"North Slope, Manila-phil Pico -Archer y, Mzldr, Shotgn Only",REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,7|8,,,2020 antlerless deer harvest-confirmed; absent from 2021 regulation/year-document checks; no safe 2021 successor.
2020,2021,2021,2022,DA1036,Antlerless Deer,"Wasatch Mtns, West-sheep Creek",Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,23|24,,,2020 antlerless deer harvest-confirmed; absent from 2021 regulation/year-document checks; no safe 2021 successor.
2020,2021,2021,2022,DB1009,Buck Deer,Management Rifle Buck Deer -Henr y Mtns,Any Legal Weapon,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,11|12,,,2021 big-game application guide explicitly states all Henry Mtns management buck deer hunts were discontinued for the 2021 season.
2020,2021,2021,2022,DB1051,Buck Deer,Henry Mtns,Archery,REVIEWED_DISCONTINUED_AFTER_2020_NO_SUCCESSOR,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,50|51,,,2021 big-game application guide explicitly states all Henry Mtns management buck deer hunts were discontinued for the 2021 season.
