"from_report_year","to_report_year","from_hunt_code","to_hunt_code","crosswalk_status","crosswalk_confidence","identity_score","from_species","from_unit","to_species","to_unit","from_weapon","to_weapon","notes"
"2023","2024","DB1216","DB1344","CANDIDATE_SUCCESSOR_BY_IDENTITY","LOW_REVIEW_MATCH","0.807","Buck Deer","Castle Valley Outdoors","Buck Deer","Salt Wells","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","DB1223","DB1348","CANDIDATE_SUCCESSOR_BY_IDENTITY","LOW_REVIEW_MATCH","0.8269","Buck Deer","Conover-jensen","Buck Deer","Kimberly","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","DB1258","DB1344","CANDIDATE_SUCCESSOR_BY_IDENTITY","LOW_REVIEW_MATCH","0.8148","Buck Deer","Little Red Creek","Buck Deer","Salt Wells","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","DB1297","DB1344","CANDIDATE_SUCCESSOR_BY_IDENTITY","LOW_REVIEW_MATCH","0.8036","Buck Deer","Stillman Creek Ranch","Buck Deer","Salt Wells","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","DB1307","DB1349","CANDIDATE_SUCCESSOR_BY_IDENTITY","MEDIUM_IDENTITY_MATCH","0.8905","Buck Deer","Weber Florence Creek","Buck Deer","Weber Florence Creek/stillman Creek","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","DB1339","DB1348","CANDIDATE_SUCCESSOR_BY_IDENTITY","LOW_REVIEW_MATCH","0.8381","Buck Deer","Double J Valley","Buck Deer","Kimberly","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","EA1257","EA1261","CANDIDATE_SUCCESSOR_BY_IDENTITY","LOW_REVIEW_MATCH","0.8095","Antlerless Elk","Tunnel Hollow CWMU","Antlerless Elk","Blackhawk CWMU","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","EB3510","EB3617","CANDIDATE_SUCCESSOR_BY_IDENTITY","LOW_REVIEW_MATCH","0.8036","Bull Elk","Conover-jensen","Bull Elk","Diamond Mountain","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","EB3563","EB3619","CANDIDATE_SUCCESSOR_BY_IDENTITY","MEDIUM_IDENTITY_MATCH","0.8759","Bull Elk","Weber Florence Creek","Bull Elk","Weber Florence Creek/stillman Creek","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","EB3612","EB3617","CANDIDATE_SUCCESSOR_BY_IDENTITY","LOW_REVIEW_MATCH","0.8","Bull Elk","5s","Bull Elk","Diamond Mountain","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","MB6210","MB6200","CANDIDATE_SUCCESSOR_BY_IDENTITY","MEDIUM_IDENTITY_MATCH","0.8704","Bull Moose","Folley Ridge","Bull Moose","Bear Springs","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","MB6225","MB6200","CANDIDATE_SUCCESSOR_BY_IDENTITY","MEDIUM_IDENTITY_MATCH","0.8762","Bull Moose","Wallsburg","Bull Moose","Bear Springs","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","MB6226","MB6266","CANDIDATE_SUCCESSOR_BY_IDENTITY","MEDIUM_IDENTITY_MATCH","0.8921","Bull Moose","Weber Florence Creek","Bull Moose","Weber Florence Creek/stillman Creek","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","MB6257","MB6264","CANDIDATE_SUCCESSOR_BY_IDENTITY","MEDIUM_IDENTITY_MATCH","0.8762","Bull Moose","Ingham Peak","Bull Moose","Sand Creek","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","MB6262","MB6263","CANDIDATE_SUCCESSOR_BY_IDENTITY","MEDIUM_IDENTITY_MATCH","0.844","Bull Moose","Junction Valley","Bull Moose","Moon Ranch","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","PB5303","PB5313","CANDIDATE_SUCCESSOR_BY_IDENTITY","MEDIUM_IDENTITY_MATCH","0.8527","Buck Pronghorn","Ensign Ranches","Buck Pronghorn","West Willow Creek Ranch","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","PB5307","PB5313","CANDIDATE_SUCCESSOR_BY_IDENTITY","LOW_REVIEW_MATCH","0.8217","Buck Pronghorn","Rlf Deep Creek","Buck Pronghorn","West Willow Creek Ranch","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
"2023","2024","PB5338","PB5313","CANDIDATE_SUCCESSOR_BY_IDENTITY","LOW_REVIEW_MATCH","0.7883","Buck Pronghorn","Castle Valley Outdoors","Buck Pronghorn","West Willow Creek Ranch","Any Legal Weapon","Any Legal Weapon","Dropped code has a same-prefix successor candidate in the next report year."
