severity,issue_type,file_path,hunt_code,details,recommended_fix
HIGH,public_runtime_file_too_large_for_pages,data/utah/foundation_bundle_2026/utah_boundaries_canonical_2026.geojson,,87146863 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,data/utah/official_downloads_2026/statewide_composite_boundaries_2026_FINAL_LOCKED.geojson,,87146863 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/composite_hunt_unit_mapping_2026.geojson,,54914353 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/statewide_composite_boundaries_2026_FINAL_LOCKED.geojson,,87146863 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/statewide_composite_boundaries_2026.geojson,,87146863 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI1000,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6500,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6503,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6504,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6505,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6506,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6509,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6516,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6527,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6528,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6529,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6531,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6532,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6534,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6535,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6536,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6537,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6538,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BI6539,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BR1000,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BR1001,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BR1007,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BR1008,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BR1009,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BR1010,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BR1011,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BR1012,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BR1013,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
HIGH,point_ladder_row_exists_but_hunt_reference_missing,processed_data/point_ladder_view.csv,BR1015,Ladder code not in reference feed.,Reconcile ladder universe with reference feed.
