file_path,matched_domain,reference_type,status,action_taken,notes
AGENTS.MD,huntbuilder.uoga.org,ACTIVE_DOCS,CANONICAL_ACTIVE,normalized_policy_text,Active repo policy now names only canonical production domain.
data.js,huntbuilder.uoga.org,ACTIVE_RUNTIME,CANONICAL_ACTIVE,no_change_needed,Runtime fallback guard checks canonical host when remapping processed_data requests.
embed-mode.js,huntbuilder.uoga.org,ACTIVE_RUNTIME,CANONICAL_ACTIVE,no_change_needed,Redirect target is canonical domain.
embed-mode.js,hunt-builder.uoga.org,ACTIVE_RUNTIME,NON_CANONICAL_REDIRECT_ONLY,kept_for_redirect,Used only to detect non-canonical host and redirect to canonical.
vercel.json,huntbuilder.uoga.org,CONFIG_ONLY,CANONICAL_ACTIVE,no_change_needed,Redirect destination points to canonical domain.
vercel.json,hunt-builder.uoga.org,CONFIG_ONLY,NON_CANONICAL_REDIRECT_ONLY,kept_for_redirect,Host-match redirect rule for non-canonical domain to canonical.
hunt-master-canonical-2026.json,huntbuilder.uoga.org,ACTIVE_DOCS,CANONICAL_ACTIVE,updated_value,Replaced non-canonical website_domain value.
schemas/hunt-master-canonical-2026.schema (2).json,huntbuilder.uoga.org,LEGACY_DOCS,CANONICAL_ACTIVE,updated_schema_id,Normalized schema $id host to canonical.
scripts/audit-active-data-feeds.js,huntbuilder.uoga.org,ACTIVE_LOCAL,CANONICAL_ACTIVE,updated_sandbox_host,Audit sandbox host now canonical.
scripts/audit-site-performance-library-outfitters.js,huntbuilder.uoga.org,ACTIVE_LOCAL,CANONICAL_ACTIVE,updated_sandbox_host,Audit sandbox host now canonical.
processed_data/final_live_push_verification_report.json,huntbuilder.uoga.org,LEGACY_DOCS,CANONICAL_ACTIVE,updated_report_url,Historical verification report now records canonical production URL.
processed_data/audits/promote_now_live_alignment.csv,hunt-builder.uoga.org,LEGACY_DOCS,LEGACY_RETAINED,left_unchanged,Historical audit evidence retained as-is; not runtime-active.
processed_data/audits/google_earth_3d_boundary_assets_audit_20260601.json,huntbuilder.uoga.org,LEGACY_DOCS,LEGACY_RETAINED,left_unchanged,Historical asset audit artifact references canonical host.
processed_data/audits/google_earth_3d_boundary_assets_audit_20260601.csv,huntbuilder.uoga.org,LEGACY_DOCS,LEGACY_RETAINED,left_unchanged,Historical asset audit artifact references canonical host.
