zip_member,file,member_class,zip_size_bytes,zip_compressed_bytes,zip_sha256,local_path,local_exists,local_size_bytes,local_sha256,csv_rows,csv_columns,hunt_codes,reported_hunt_years,model_target_years,classification,recommendation
2025 HARVEST DATA/harvest_quality_features_by_hunt_code_2025_for_2026.csv,harvest_quality_features_by_hunt_code_2025_for_2026.csv,HARVEST_CSV,313722,34971,e2929f372a836a8c3fc939cf35c0620ff10ad5d2712e3670575677d367e0aae0,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\harvest report\harvest_quality_features_by_hunt_code_2025_for_2026.csv,True,313722,e2929f372a836a8c3fc939cf35c0620ff10ad5d2712e3670575677d367e0aae0,1120,26,1120,2025,2026,ZIP_MATCHES_ACTIVE_LOCAL_RAW,Core active package already has this exact file.
2025 HARVEST DATA/harvest_results_2025_for_2026_BISON_hunt_success.csv,harvest_results_2025_for_2026_BISON_hunt_success.csv,HARVEST_CSV,7685,927,c5bdada7f16afe3e3ef60c110f2cfdb03b1493ebb7b90203709eaa46630d64ae,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\harvest report\harvest_results_2025_for_2026_BISON_hunt_success.csv,True,7685,c5bdada7f16afe3e3ef60c110f2cfdb03b1493ebb7b90203709eaa46630d64ae,18,25,18,2025,2026,ZIP_MATCHES_ACTIVE_LOCAL_RAW,Core active package already has this exact file.
2025 HARVEST DATA/harvest_results_2025_for_2026_DEER_hunt_success.csv,harvest_results_2025_for_2026_DEER_hunt_success.csv,HARVEST_CSV,170444,11547,9b2183a7fb69783950c81ad0afa2bcf16ce8be80b275c0ac4579a773f85e58c4,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\harvest report\harvest_results_2025_for_2026_DEER_hunt_success.csv,True,170444,9b2183a7fb69783950c81ad0afa2bcf16ce8be80b275c0ac4579a773f85e58c4,418,25,418,2025,2026,ZIP_MATCHES_ACTIVE_LOCAL_RAW,Core active package already has this exact file.
2025 HARVEST DATA/harvest_results_2025_for_2026_DESERT_BIGHORN_SHEEP_hunt_success.csv,harvest_results_2025_for_2026_DESERT_BIGHORN_SHEEP_hunt_success.csv,HARVEST_CSV,10857,1142,d86820b030b0d129e73a1a2f592d87d63f2e834119e4962001d75f147c1a7721,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\harvest report\harvest_results_2025_for_2026_DESERT_BIGHORN_SHEEP_hunt_success.csv,True,10857,d86820b030b0d129e73a1a2f592d87d63f2e834119e4962001d75f147c1a7721,25,25,25,2025,2026,ZIP_MATCHES_ACTIVE_LOCAL_RAW,Core active package already has this exact file.
2025 HARVEST DATA/harvest_results_2025_for_2026_ELK_hunt_success.csv,harvest_results_2025_for_2026_ELK_hunt_success.csv,HARVEST_CSV,186507,12869,4e2c1735eac2701bb8474e095cf73681e7209d71d255378b3ab944e5316523c4,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\harvest report\harvest_results_2025_for_2026_ELK_hunt_success.csv,True,186507,4e2c1735eac2701bb8474e095cf73681e7209d71d255378b3ab944e5316523c4,455,25,455,2025,2026,ZIP_MATCHES_ACTIVE_LOCAL_RAW,Core active package already has this exact file.
2025 HARVEST DATA/harvest_results_2025_for_2026_MOOSE_hunt_success.csv,harvest_results_2025_for_2026_MOOSE_hunt_success.csv,HARVEST_CSV,17926,1635,c5c54171bd2c450498221d727bd8189fca1131190092550c72b5b0635e8e3413,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\harvest report\harvest_results_2025_for_2026_MOOSE_hunt_success.csv,True,17926,c5c54171bd2c450498221d727bd8189fca1131190092550c72b5b0635e8e3413,44,25,44,2025,2026,ZIP_MATCHES_ACTIVE_LOCAL_RAW,Core active package already has this exact file.
2025 HARVEST DATA/harvest_results_2025_for_2026_MOUNTAIN_GOAT_hunt_success.csv,harvest_results_2025_for_2026_MOUNTAIN_GOAT_hunt_success.csv,HARVEST_CSV,7802,967,5712bc17897827ea74610560adcae74701d859e8cb90dc238599474e6379b73b,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\harvest report\harvest_results_2025_for_2026_MOUNTAIN_GOAT_hunt_success.csv,True,7802,5712bc17897827ea74610560adcae74701d859e8cb90dc238599474e6379b73b,18,25,18,2025,2026,ZIP_MATCHES_ACTIVE_LOCAL_RAW,Core active package already has this exact file.
2025 HARVEST DATA/harvest_results_2025_for_2026_PRONGHORN_hunt_success.csv,harvest_results_2025_for_2026_PRONGHORN_hunt_success.csv,HARVEST_CSV,50440,3666,38751d0436d8f12a5b5edd969e9c0dfaca7f7277f1e1921aa6cdfa1d1bf32941,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\harvest report\harvest_results_2025_for_2026_PRONGHORN_hunt_success.csv,True,50440,38751d0436d8f12a5b5edd969e9c0dfaca7f7277f1e1921aa6cdfa1d1bf32941,121,25,121,2025,2026,ZIP_MATCHES_ACTIVE_LOCAL_RAW,Core active package already has this exact file.
2025 HARVEST DATA/harvest_results_2025_for_2026_ROCKY_MOUNTAIN_BIGHORN_SHEEP_hunt_success.csv,harvest_results_2025_for_2026_ROCKY_MOUNTAIN_BIGHORN_SHEEP_hunt_success.csv,HARVEST_CSV,9425,1049,71d762f98e44c93e8730e52873f2dee0e5e13de7e1618b50ea43b6bf6875d917,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\harvest report\harvest_results_2025_for_2026_ROCKY_MOUNTAIN_BIGHORN_SHEEP_hunt_success.csv,True,9425,71d762f98e44c93e8730e52873f2dee0e5e13de7e1618b50ea43b6bf6875d917,21,25,21,2025,2026,ZIP_MATCHES_ACTIVE_LOCAL_RAW,Core active package already has this exact file.
2025 HARVEST DATA/harvest_results_2025_for_2026_all_long.csv,harvest_results_2025_for_2026_all_long.csv,HARVEST_CSV,458510,29817,037c928942011540418d0a300eafcb45919eacac2c72df2822a0865a0e275277,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\harvest report\harvest_results_2025_for_2026_all_long.csv,True,458510,037c928942011540418d0a300eafcb45919eacac2c72df2822a0865a0e275277,1120,25,1120,2025,2026,ZIP_MATCHES_ACTIVE_LOCAL_RAW,Core active package already has this exact file.
