hunt_code,year,residency,points,application_value_score,decision_label,modeled_draw_probability_score,hunt_quality_score,point_value_score,demand_opportunity_score,permit_stability_score
BI6500,2026,Resident,30,67.112,GOOD VALUE,37.5,80.75,92.0,66.667,100.0
BI6500,2026,Resident,29,48.482,HIGH QUALITY / BAD ODDS,5.556,80.75,84.0,25.0,100.0
BI6500,2026,Resident,28,44.897,HIGH QUALITY / BAD ODDS,3.333,80.75,76.0,14.286,100.0
BI6500,2026,Resident,27,42.721,HIGH QUALITY / BAD ODDS,2.381,80.75,68.0,10.0,100.0
BI6500,2026,Resident,26,41.138,HIGH QUALITY / BAD ODDS,2.0,80.75,60.0,8.333,100.0
BI6500,2026,Resident,25,39.605,HIGH QUALITY / BAD ODDS,1.667,80.75,52.0,6.897,100.0
BI6500,2026,Resident,24,38.026,HIGH QUALITY / BAD ODDS,1.282,80.75,44.0,5.263,100.0
BI6500,2026,Resident,23,36.794,HIGH QUALITY / BAD ODDS,1.25,80.75,36.0,5.128,100.0
BI6500,2026,Resident,22,35.659,HIGH QUALITY / BAD ODDS,1.316,80.75,28.0,5.405,100.0
BI6500,2026,Resident,21,34.426,HIGH QUALITY / BAD ODDS,1.282,80.75,20.0,5.263,100.0
BI6500,2026,Resident,20,33.37,HIGH QUALITY / BAD ODDS,1.429,80.75,12.0,5.882,100.0
BI6500,2026,Resident,19,31.936,HIGH QUALITY / BAD ODDS,1.19,80.75,4.0,4.878,100.0
BI6500,2026,Resident,18,31.283,HIGH QUALITY / BAD ODDS,1.136,80.75,0.0,4.651,100.0
BI6500,2026,Resident,17,31.459,HIGH QUALITY / BAD ODDS,1.316,80.75,0.0,5.405,100.0
BI6500,2026,Resident,16,31.19,HIGH QUALITY / BAD ODDS,1.042,80.75,0.0,4.255,100.0
BI6500,2026,Resident,15,31.061,HIGH QUALITY / BAD ODDS,0.909,80.75,0.0,3.704,100.0
BI6500,2026,Resident,14,30.988,HIGH QUALITY / BAD ODDS,0.833,80.75,0.0,3.39,100.0
BI6500,2026,Resident,13,30.794,HIGH QUALITY / BAD ODDS,0.633,80.75,0.0,2.564,100.0
BI6500,2026,Resident,12,30.818,HIGH QUALITY / BAD ODDS,0.658,80.75,0.0,2.667,100.0
BI6500,2026,Resident,11,30.757,HIGH QUALITY / BAD ODDS,0.595,80.75,0.0,2.41,100.0
BI6500,2026,Resident,10,30.647,HIGH QUALITY / BAD ODDS,0.481,80.75,0.0,1.942,100.0
BI6500,2026,Resident,9,30.533,HIGH QUALITY / BAD ODDS,0.362,80.75,0.0,1.46,100.0
BI6500,2026,Resident,8,30.491,HIGH QUALITY / BAD ODDS,0.318,80.75,0.0,1.282,100.0
BI6500,2026,Resident,7,30.465,HIGH QUALITY / BAD ODDS,0.291,80.75,0.0,1.17,100.0
