hunt_code,boundary_id,boundary_id_2024,boundary_id_2023,boundary_id_2021,boundary_id_2022,hunt_name,hunt_name_2024,hunt_name_2023,hunt_name_2021,hunt_name_2022,sex_type,species,weapon,hunt_type,hunt_class,season,NOTES,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_source,permits_2026_draw_source,draw_2026_system_type,draw_design,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,percent_harvest_success_previous_hunting_season,current_age_3yr_average,average_harvest_age,average_harvest_age_reported_hunt_year,average_harvest_age_source_file,average_harvest_age_review_status,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,conservation_permits_2026_total,conservation_permits_2026_source,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2024_source,permits_2018_res,permits_2018_nr,permits_2018_total,permits_2018_source,permits_2019_res,permits_2019_nr,permits_2019_total,permits_2019_source,permits_2020_res,permits_2020_nr,permits_2020_total,permits_2020_source,permits_2021_res,permits_2021_nr,permits_2021_total,permits_2021_source,permits_2022_res,permits_2022_nr,permits_2022_total,permits_2022_source,permits_2023_res,permits_2023_nr,permits_2023_total,permits_2023_source,permits_2026_res,permits_2026_nr,permits_2026_total,draw_system_type,draw_pool,draw_system_type_source,draw_system_type_confidence,metric_scope,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_success_ratio,resident_p_draw,resident_p_draw_percent,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_success_ratio,nonresident_p_draw,nonresident_p_draw_percent,total_eligible_applicants,total_bonus_permits,total_regular_permits,total_success_ratio,total_p_draw,total_p_draw_percent,actual_draw_year,model_target_year,residency,points,record_type,dwr_huntplanner_source_url,dwr_huntplanner_source_retrieved_at,dwr_huntplanner_management_stats_available,dwr_huntplanner_hunt_year,dwr_huntplanner_species,dwr_huntplanner_sex_type,dwr_huntplanner_hunt_type,dwr_huntplanner_weapon,dwr_huntplanner_season_type,dwr_huntplanner_draw_designation,dwr_huntplanner_management_unit_key,dwr_huntplanner_percent_harvest_success_previous_hunting_season,dwr_huntplanner_public_harvest_success_previous_hunting_season,dwr_huntplanner_cwmu_harvest_success_previous_hunting_season,dwr_huntplanner_current_age_3yr_average,dwr_huntplanner_bucks_per_100_does_objective,dwr_huntplanner_current_bucks_per_100_does_3yr_average,dwr_huntplanner_bulls_per_100_cows_objective,dwr_huntplanner_bulls_per_100_cows_estimate,dwr_huntplanner_total_hunters_previous_hunting_season,dwr_huntplanner_hunt_name
BR7212,289,,,289,,"North Slope, Three Corners/West Daggett",,,"North Slope, Three Corners/west Daggett",,Either Sex,Black Bear,Any Legal Weapon,Limited Entry,Max/Weighted Split,Multiseason,,,,,2,0,2,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,MAX_WEIGHTED_SPLIT,MAX_WEIGHTED_SPLIT,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_UPLOADED_COMBINED_long,2,0,2,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2017_for_2018_canonical_yearly_draw_results.csv; source_file=17_bonus_points.pdf; rollup=max_total_per_hunt_code,2,0,2,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL,2,0,2,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL,2,0,2,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL,4,0,4,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL,2,0,2,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL,2,0,2,MAX_WEIGHTED_SPLIT,max_weighted_split,outputs.draw_design.hunt_code_year,high,total,,,,,,,,,,,,,,,,,,,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2018;2019;2020;2021;2022;2023;2024;2025;2026;2027,Nonresident;Resident,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;TOTAL;Totals,black_bear_hunt_choice_odds_report;hunt_total_draw_result;point_level_draw_result;supplemental_permit_total_row,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR7212,2026-09-03T06:27:50.740Z,false,2026,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Limited Entry - Fall,,black bear:north_slope_three_corner_west_daggett,,,,,,,,,,"North Slope, Three Corners/West Daggett"
BR7308,289,,,289,,"North Slope, Three Corners/West Daggett",,,"North Slope, Three Corners/west Daggett",,Either Sex,Black Bear,Multiseason,Limited Entry,Max/Weighted Split,Multiseason,,,,,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,MAX_WEIGHTED_SPLIT,MAX_WEIGHTED_SPLIT,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_UPLOADED_COMBINED_long,1,0,1,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2017_for_2018_canonical_yearly_draw_results.csv; source_file=17_bonus_points.pdf; rollup=max_total_per_hunt_code,1,0,1,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL,1,0,1,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL,1,0,1,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL,2,0,2,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL,1,0,1,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL,1,0,1,MAX_WEIGHTED_SPLIT,max_weighted_split,outputs.draw_design.hunt_code_year,high,total,,,,,,,,,,,,,,,,,,,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2018;2019;2020;2021;2022;2023;2024;2025;2026;2027,Nonresident;Resident,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;TOTAL;Totals,black_bear_hunt_choice_odds_report;hunt_total_draw_result;point_level_draw_result;supplemental_permit_total_row,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR7308,2026-09-03T06:27:50.740Z,false,2026,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Limited Entry - Multiseason,,black bear:north_slope_three_corner_west_daggett,,,,,,,,,,"North Slope, Three Corners/West Daggett"
MB6007,289,,,289,,"North Slope, Three Corners/West Daggett",,,"North Slope, Three Corners/west Daggett",,Bull,Moose,Any Legal Weapon,Once-in-a-lifetime,Max/Weighted Split,Sept 12 2026 - Oct 31 2026,,505,471,Bonus Point Draw Results,6,2,8,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,MAX_WEIGHTED_SPLIT,MAX_WEIGHTED_SPLIT,6,2,8,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Moose&gender=Bull,LIVE_DWR_RES_NR_SPLIT,100,4.3,,,,,3.75-4.25,150,150,,,11,1,12,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,4,0,4,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2017_for_2018_canonical_yearly_draw_results.csv; source_file=17_big_game_odds_report.pdf; rollup=max_total_per_hunt_code,5,0,5,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL,5,1,6,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL,6,1,7,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL,14,2,16,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL,7,1,8,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL,6,2,8,MAX_WEIGHTED_SPLIT,max_weighted_split,outputs.draw_design.hunt_code_year,high,total,,,,,,,,,,,,,,,,,,,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2018;2019;2020;2021;2022;2023;2024;2025;2026;2027,Nonresident;Resident,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;TOTAL;Totals,hunt_total_draw_result;point_level_draw_result;supplemental_permit_total_row,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=MB6007,2026-09-03T06:27:50.740Z,true,2026,Moose,Bull,Once-in-a-lifetime,Any Legal Weapon,,P,moose:north_slope_three_corner_west_daggett,100,100,,4.3,,,,,,"North Slope, Three Corners/West Daggett"
PB5012,289,,,289,,"North Slope, Three Corners/West Daggett",,,"North Slope, Three Corners/west Daggett",,Buck,Pronghorn,Archery,Limited Entry,Max/Weighted Split,Aug 15 2026 - Sept 11 2026,,419,510,Bonus Point Draw Results,12,1,13,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,MAX_WEIGHTED_SPLIT,MAX_WEIGHTED_SPLIT,10,1,11,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,69.2,3.3,4.7,2022,968EFF87__2022_le_oial_all.pdf,PASS,2.0-3.0,950,550,3,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,11,1,12,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,4,1,5,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2017_for_2018_canonical_yearly_draw_results.csv; source_file=17_big_game_odds_report.pdf; rollup=max_total_per_hunt_code,5,1,6,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL,6,1,7,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL,7,1,8,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL,16,2,18,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL,9,1,10,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL,10,1,11,MAX_WEIGHTED_SPLIT,max_weighted_split,outputs.draw_design.hunt_code_year,high,total,,,,,,,,,,,,,,,,,,,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2018;2019;2020;2021;2022;2023;2024;2025;2026;2027,Nonresident;Resident,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;TOTAL;Totals,hunt_total_draw_result;point_level_draw_result,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5012,2026-09-03T06:27:50.740Z,true,2026,Pronghorn,Buck,Limited Entry,Archery,,P,pronghorn:north_slope_three_corner_west_daggett,66.7,66.7,,3.3,,,,,,"North Slope, Three Corners/West Daggett"
PB5040,289,,,289,,"North Slope, Three Corners/West Daggett",,,"North Slope, Three Corners/west Daggett",,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Max/Weighted Split,Sept 12 2026 - Sept 20 2026,,442,533,Bonus Point Draw Results,34,4,38,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,MAX_WEIGHTED_SPLIT,MAX_WEIGHTED_SPLIT,29,3,32,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,92.3,3.3,4.7,2022,968EFF87__2022_le_oial_all.pdf,PASS,2.0-3.0,950,550,3,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,31,4,35,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,16,2,18,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2017_for_2018_canonical_yearly_draw_results.csv; source_file=17_big_game_odds_report.pdf; rollup=max_total_per_hunt_code,21,2,23,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL,25,3,28,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL,22,2,24,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL,46,6,52,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL,27,3,30,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL,29,3,32,MAX_WEIGHTED_SPLIT,max_weighted_split,outputs.draw_design.hunt_code_year,high,total,,,,,,,,,,,,,,,,,,,2017;2018;2019;2020;2021;2022;2023;2024;2025;2026,2018;2019;2020;2021;2022;2023;2024;2025;2026;2027,Nonresident;Resident,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;TOTAL;Totals,hunt_total_draw_result;point_level_draw_result,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5040,2026-09-03T06:27:50.740Z,true,2026,Pronghorn,Buck,Limited Entry,Any Legal Weapon,,P,pronghorn:north_slope_three_corner_west_daggett,91.9,91.9,,3.3,,,,,,"North Slope, Three Corners/West Daggett"
PB5066,289,,,289,,"North Slope, Three Corners/West Daggett",,,"North Slope, Three Corners/west Daggett",,Buck,Pronghorn,Muzzleloader,Limited Entry,Max/Weighted Split,Sept 23 2026 - Oct 01 2026,,463,554,Bonus Point Draw Results,12,1,13,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,MAX_WEIGHTED_SPLIT,MAX_WEIGHTED_SPLIT,10,1,11,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck,LIVE_DWR_RES_NR_SPLIT,58.3,3.3,4.7,2022,968EFF87__2022_le_oial_all.pdf,PASS,2.0-3.0,950,550,3,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,11,1,12,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,,,,,,,,,,,,,7,1,8,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL,16,2,18,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL,9,1,10,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL,10,1,11,MAX_WEIGHTED_SPLIT,max_weighted_split,outputs.draw_design.hunt_code_year,high,total,,,,,,,,,,,,,,,,,,,2021;2022;2023;2024;2025;2026,2022;2023;2024;2025;2026;2027,Nonresident;Resident,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;Totals,hunt_total_draw_result;point_level_draw_result,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5066,2026-09-03T06:27:50.740Z,true,2026,Pronghorn,Buck,Limited Entry,Muzzleloader,,P,pronghorn:north_slope_three_corner_west_daggett,58.3,58.3,,3.3,,,,,,"North Slope, Three Corners/West Daggett"
DB1090,301,,,301,,"Book Cliffs, Floy Canyon",,,"Book Cliffs, Floy Canyon",,Buck,Deer,"Book Cliffs, Floy Canyon",Limited Entry,Max/Weighted Split,Nov 07 2026 - Nov 30 2026,,64,79,Bonus Point Draw Results,6,1,7,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_HUNTPLANNER__deer.xlsx,MAX_WEIGHTED_SPLIT,MAX_WEIGHTED_SPLIT,6,1,7,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,100,,,,,,,9000 (entire Book Cliffs unit),6200 (entire Book Cliffs unit),,,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,,,,,,,,,4,1,5,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL,4,1,5,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL,8,2,10,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL,4,1,5,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL,6,1,7,MAX_WEIGHTED_SPLIT,max_weighted_split,outputs.draw_design.hunt_code_year,high,total,,,,,,,,,,,,,,,,,,,2020;2021;2022;2023;2024;2025;2026,2021;2022;2023;2024;2025;2026;2027,Nonresident;Resident,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;TOTAL;Totals,hunt_total_draw_result;point_level_draw_result;supplemental_permit_total_row,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1090,2026-09-03T06:27:50.740Z,true,2026,Deer,Buck,Limited Entry,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",,P,deer:book_cliff_floy_canyon,100,100,,,,,,,,"Book Cliffs, Floy Canyon"
DS6605,305,,,,,"Pine Valley, Beaver Dam",,,,,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,Organizations,"Sept 13, 2025 - Dec 31, 2025",,,,,,,,,Utah DWR 2025-2027 Conservation Permit Database,,MAX_WEIGHTED_SPLIT,MAX_WEIGHTED_SPLIT,1,0,1,REVIEWED_2026_PUBLISHED_PERMIT_PROMOTION_FROM_LEGACY_COMPAT,processed_data/audits/database_2026_published_vs_legacy_allotment_actions.csv,DERIVED_FROM_PUBLISHED_2026_PERMITS_COMPAT,100,,,,,,,325,192,1,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,,,,,3,0,3,data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2017_for_2018_canonical_yearly_draw_results.csv; source_file=17_big_game_odds_report.pdf; rollup=max_total_per_hunt_code,4,0,4,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL,,,,,,,,,,,,,,,,,1,0,1,MAX_WEIGHTED_SPLIT,max_weighted_split,outputs.draw_design.hunt_code,high,total,,,,,,,,,,,,,,,,,,,2017;2018;2019,2018;2019;2020,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;TOTAL,hunt_total_draw_result;point_level_draw_result,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DS6605,2026-09-03T06:27:50.740Z,true,2025,Desert Bighorn Sheep,Male Only,Conservation,Any Legal Weapon,,P,desert bighorn sheep:pine_valley_beaver_dam,100,100,,,,,,,,"Pine Valley, Beaver Dam"
DS6621,305,,,305,,"Pine Valley, Beaver Dam",,,"Pine Valley, Beaver Dam",,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Max/Weighted Split,Oct 24 2026 - Dec 25 2026,,562,229,Bonus Point Draw Results,5,0,5,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,MAX_WEIGHTED_SPLIT,MAX_WEIGHTED_SPLIT,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Desert+Bighorn+Sheep&gender=Male+Only,LIVE_DWR_RES_NR_SPLIT,60,,,,,,,200,96,1,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,6,0,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,,,,,,,,,3,0,3,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL,4,0,4,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL,8,0,8,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL,6,0,6,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL,2,0,2,MAX_WEIGHTED_SPLIT,max_weighted_split,outputs.draw_design.hunt_code_year,high,total,,,,,,,,,,,,,,,,,,,2020;2021;2022;2023;2024;2025;2026,2021;2022;2023;2024;2025;2026;2027,Nonresident;Resident,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;TOTAL;Totals,hunt_total_draw_result;point_level_draw_result;supplemental_permit_total_row,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DS6621,2026-09-03T06:27:50.740Z,true,2026,Desert Bighorn Sheep,Male Only,Once-in-a-lifetime,Any Legal Weapon,,P,desert bighorn sheep:pine_valley_beaver_dam,66.7,66.7,,,,,,,,"Pine Valley, Beaver Dam"
DS6620,306,,,306,,"Pine Valley, Virgin River",,,"Pine Valley, Virgin River",,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Max/Weighted Split,Oct 24 2026 - Dec 25 2026,,561,228,Bonus Point Draw Results,3,0,3,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,MAX_WEIGHTED_SPLIT,MAX_WEIGHTED_SPLIT,3,0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Desert+Bighorn+Sheep&gender=Male+Only,LIVE_DWR_RES_NR_SPLIT,66.7,,,,,,,125,96,,,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,,,,,,,,,2,0,2,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL,2,0,2,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL,4,0,4,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL,2,0,2,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL,3,0,3,MAX_WEIGHTED_SPLIT,max_weighted_split,outputs.draw_design.hunt_code_year,high,total,,,,,,,,,,,,,,,,,,,2020;2021;2022;2023;2024;2025;2026,2021;2022;2023;2024;2025;2026;2027,Nonresident;Resident,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;TOTAL;Totals,hunt_total_draw_result;point_level_draw_result;supplemental_permit_total_row,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DS6620,2026-09-03T06:27:50.740Z,true,2026,Desert Bighorn Sheep,Male Only,Once-in-a-lifetime,Any Legal Weapon,,P,desert bighorn sheep:pine_valley_virgin_river,66.7,66.7,,,,,,,,"Pine Valley, Virgin River"
DS6622,308,,,308,,"San Juan, North",,,"San Juan, North",,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Max/Weighted Split,Sept 12 2026 - Nov 10 2026,,563,230,Bonus Point Draw Results,3,0,3,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,MAX_WEIGHTED_SPLIT,MAX_WEIGHTED_SPLIT,3,0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Desert+Bighorn+Sheep&gender=Male+Only,LIVE_DWR_RES_NR_SPLIT,33.3,,,,,,,125,72,,,4,0,4,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,,,,,,,,,2,0,2,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL,3,0,3,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL,6,0,6,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL,3,0,3,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL,3,0,3,MAX_WEIGHTED_SPLIT,max_weighted_split,outputs.draw_design.hunt_code_year,high,total,,,,,,,,,,,,,,,,,,,2020;2021;2022;2023;2024;2025;2026,2021;2022;2023;2024;2025;2026;2027,Nonresident;Resident,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;TOTAL;Totals,hunt_total_draw_result;point_level_draw_result;supplemental_permit_total_row,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DS6622,2026-09-03T06:27:50.740Z,true,2026,Desert Bighorn Sheep,Male Only,Once-in-a-lifetime,Any Legal Weapon,,P,desert bighorn sheep:san_juan_north,33.3,33.3,,,,,,,,"San Juan, North"
